Darcy Rose Byrnes,Byrnes
Ashley Judd,Judd
Emilia Clarke,Clarke
Christina Applegate,Applegate
Nia Long,Long
Felicity Jones,Jones
Alexandra Daddario,Daddario
Jena Malone,Malone
Richard Gere,Gere
Nicholas Farrell,Farrell
Ray Liotta,Liotta
Chris Rock,Rock
Neil Patrick Harris,Harris
Charlie Sheen,Sheen
Mark Rylance,Rylance
Michael Lerner,Lerner
Graham Greene,Greene
Bruce Davison,Davison
Dan Aykroyd,Aykroyd
Danny Aiello,Aiello
River Phoenix,Phoenix
Dean Stockwell,Stockwell
Billy Crystal,Crystal
John Goodman,Goodman
Orlando Bloom,Bloom
Mike Myers,Myers
Tyrese Gibson,Gibson
Elijah Wood,Wood
Danny DeVito,DeVito
Lucy Liu,Liu
Rebecca Romijn,Romijn
Michelle Rodriguez,Rodriguez
Sarah Michelle Gellar,Gellar
Rebecca Hall,Hall
Piper Perabo,Perabo
Courteney Cox,Cox
Parker McKenna Posey,Posey
Paula Patton,Patton
Michelle Monaghan,Monaghan
Claire Danes,Danes
Ali Larter,Larter
Kate Bosworth,Bosworth
Evan Rachel Wood,Wood
Mira Sorvino,Sorvino
Zhang Ziyi,Ziyi
Amanda Crew,Crew
Amanda Bynes,Bynes
Lisa Kudrow,Kudrow
Neve Campbell,Campbell
Ellen DeGeneres,DeGeneres
Mandy Moore,Moore
Virginia Madsen,Madsen
James Marsden,Marsden
Tim Allen,Allen
Giovanni Ribisi,Ribisi
Rutger Hauer,Hauer
Vince Vaughn,Vaughn
Brian Cox,Cox
Dennis Quaid,Quaid
John Leguizamo,Leguizamo
Michael Keaton,Keaton
Billy Burke,Burke
Brendan Gleeson,Gleeson
Clark Gregg,Gregg
Jonathan Pryce,Pryce
Tobey Maguire,Maguire
Michael Sheen,Sheen
Justin Long,Long
Kellan Lutz,Lutz
Jack O\Shea,O\Shea
Pierce Brosnan,Brosnan
Sean Bean,Bean
Cedric the Entertainer,Entertainer
Mahershala Ali,Ali
Josh Duhamel,Duhamel
Jon Favreau,Favreau
Danny Glover,Glover
Freida Pinto,Pinto
Hilary Duff,Duff
Mary Elizabeth Winstead,Winstead
Jennifer Coolidge,Coolidge
Andrea Riseborough,Riseborough
Molly Ringwald,Ringwald
January Jones,Jones
Maya Rudolph,Rudolph
Sophie Marceau,Marceau
Olga Kurylenko,Kurylenko
Franka Potente,Potente
Rashida Jones,Jones
Alicia Silverstone,Silverstone
Rosie Huntington-Whiteley,Huntington-Whiteley
Lillian Gish,Gish
Evangeline Lilly,Lilly
Mireille Enos,Enos
Jennifer Love Hewitt,Hewitt
Emmy Rossum,Rossum
Joey King,King
Ginnifer Goodwin,Goodwin
Christine Taylor,Taylor
Vanessa Hudgens,Hudgens
Abbie Cornish,Cornish
Michelle Yeoh,Yeoh
Ian Holm,Holm
Nathan Lane,Lane
Cary Elwes,Elwes
Owen Davis,Davis
Steve Coogan,Coogan
Sacha Baron Cohen,Cohen
Jeffrey Wright,Wright
Jackie Chan,Chan
Aaron Eckhart,Eckhart
Sam Worthington,Worthington
Jack Davenport,Davenport
Alfred Molina,Molina
Justin Bartha,Bartha
Mark Hamill,Hamill
Brendan Fraser,Fraser
Ice Cube,Cube
Liev Schreiber,Schreiber
Ed Helms,Helms
Val Kilmer,Kilmer
Russell Brand,Brand
Craig T. Nelson,Nelson
Bernie Mac,Mac
James Patrick Stuart,Stuart
Seth Grahame-Smith,Grahame-Smith
Ashton Kutcher,Kutcher
Randy Quaid,Quaid
Wesley Snipes,Snipes
David Oyelowo,Oyelowo
Mark Strong,Strong
Robert B. Schneider IV,IV
Jay Baruchel,Baruchel
Hayden Christensen,Christensen
Ray Stevenson,Stevenson
Paul Bettany,Bettany
Hugh Laurie,Laurie
Chris Tucker,Tucker
Nick Swardson,Swardson
Josh Lucas,Lucas
Chris O\Donnell,O\Donnell
Benjamin Bratt,Bratt
Ben Spiller,Spiller
Johnny Knoxville,Knoxville
Marlon Wayans,Wayans
Jai Courtney,Courtney
Albert Brooks,Brooks
Macaulay Culkin,Culkin
Sammy Elliott,Elliott
Jim Caviezel,Caviezel
Paul Scofield,Scofield
Jared Harris,Harris
Harpo Marx,Marx
Jason Sudeikis,Sudeikis
Josh Hartnett,Hartnett
Pat Wilson,Wilson
Cillian Murphy,Murphy
Billy Crudup,Crudup
Christopher Mintz-Plasse,Mintz-Plasse
Anthony Mackie,Mackie
Timothy Olyphant,Olyphant
Josh Gad,Gad
Luke Wilson,Wilson
Peter Sarsgaard,Sarsgaard
Rhys Ifans,Ifans
Topher Grace,Grace
Kevin B Hartley,Hartley
Serge Davri,Davri
Lenny Kravitz,Kravitz
Bill Hader,Hader
Robert Lowell,Lowell
David Spade,Spade
Rob Riggle,Riggle
Lance Henriksen,Henriksen
Richard Burton,Burton
Mike Vogel,Vogel
Michael Ealy,Ealy
Freddie Prinze Jr.,Jr.
Jamie Bell,Bell
Danny McBride,McBride
Jonathan Rhys Meyers,Meyers
Michael Cera,Cera
Bill Paxton,Paxton
Christianne Klein,Klein
Ioan Gruffudd,Gruffudd
Stepin Fetchit,Fetchit
Bill Pullman,Pullman
Craig Robinson,Robinson
Charlie Day,Day
Andy Samberg,Samberg
Garrett Hedlund,Hedlund
Cam Gigandet,Gigandet
John Krasinski,Krasinski
Kevin Kruchkywich,Kruchkywich
Breckin Meyer,Meyer
Christopher Reeve,Reeve
James McAvoy,McAvoy
Rufus Sewell,Sewell
Ned Beatty,Beatty
John Cleese,Cleese
John Turturro,Turturro
Jerry Lee Lewis,Lewis
